Month,Wood Energy Production,Biofuels Production,Biomass Energy Production,"Renewable Energy Production, Fossil Fuel Equivalent","Conventional Hydro Energy Consumption, Fossil Fuel Equivalent","Geothermal Energy Consumption, Fossil Fuel Equivalent","Solar Energy Consumption, Fossil Fuel Equivalent","Wind Energy Consumption, Fossil Fuel Equivalent",Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Biomass Energy Consumption,"Renewable Energy Consumption, Fossil Fuel Equivalent"
1986-04-01,210.372,8.803,240.788,539.897,290.609,8.479,Not Available,0.006,210.372,21.613,8.803,240.788,539.897
1986-05-01,217.424,9.096,248.822,545.072,287.656,8.568,Not Available,0.008,217.424,22.302,9.096,248.822,545.072
1986-06-01,210.444,8.803,240.837,527.412,277.26,9.295,Not Available,0.005,210.444,21.591,8.803,240.837,527.412
1986-07-01,217.598,9.096,249.011,513.292,254.396,9.862,Not Available,0.005,217.598,22.317,9.096,249.011,513.292
1986-08-01,217.76,9.096,249.176,482.847,223.81,9.839,Not Available,0.005,217.76,22.32,9.096,249.176,482.847
1986-09-01,210.699,8.803,241.074,472.114,222.779,8.245,Not Available,0.001,210.699,21.572,8.803,241.074,472.114
1986-10-01,217.574,9.096,248.974,482.113,225.018,8.105,Not Available,0.002,217.574,22.304,9.096,248.974,482.113
1986-11-01,210.647,8.803,241.122,492.321,244.175,7.015,Not Available,0,210.647,21.673,8.803,241.122,492.321
1986-12-01,217.863,9.096,249.352,532.346,273.692,9.299,Not Available,0,217.863,22.393,9.096,249.352,532.346
1987-01-01,209.176,10.423,244.137,521.265,267.809,9.317,Not Available,0.001,209.176,24.537,10.423,244.137,521.265
1987-02-01,188.924,9.415,220.511,452.878,223.722,8.64,Not Available,0,188.924,22.172,9.415,220.511,452.878
1987-03-01,209.117,10.423,244.157,498.782,245.143,9.473,Not Available,0,209.117,24.616,10.423,244.157,498.782
1987-04-01,202.254,10.087,236.139,477.656,232.573,8.929,Not Available,0.002,202.254,23.798,10.087,236.139,477.656
1987-05-01,208.99,10.423,244.007,509.032,255.627,9.382,Not Available,0.003,208.99,24.593,10.423,244.007,509.032
1987-06-01,202.596,10.087,236.522,466.873,220.689,9.635,Not Available,0.01,202.596,23.839,10.087,236.522,466.873
1987-07-01,209.335,10.423,244.359,467.691,213.34,9.961,Not Available,0.013,209.335,24.601,10.423,244.359,467.691
1987-08-01,209.365,10.423,244.396,448.986,194.652,9.923,Not Available,0.002,209.365,24.608,10.423,244.396,448.986
1987-09-01,202.52,10.087,236.298,437.201,191.635,9.257,Not Available,0.002,202.52,23.691,10.087,236.298,437.201
1987-10-01,209.112,10.423,244.059,442.655,189.215,9.375,Not Available,0.001,209.112,24.523,10.423,244.059,442.655
1987-11-01,202.462,10.087,236.197,423.208,177.943,9.064,Not Available,0.001,202.462,23.648,10.087,236.197,423.208
1987-12-01,209.308,10.423,244.104,475.58,222.161,9.312,Not Available,0.002,209.308,24.373,10.423,244.104,475.58
1988-01-01,218.368,10.508,255.331,495.132,230.477,9.312,Not Available,0.007,218.368,26.455,10.508,255.331,495.132
1988-02-01,204.246,9.83,238.853,446.663,199.789,8.013,Not Available,0,204.246,24.778,9.83,238.853,446.663
1988-03-01,218.351,10.508,255.385,469.098,204.359,9.341,Not Available,0,218.351,26.526,10.508,255.385,469.098
1988-04-01,211.122,10.169,247.241,455.993,200.293,8.454,Not Available,0,211.122,25.95,10.169,247.241,455.993
1988-05-01,217.825,10.508,255.188,486.212,222.701,8.31,Not Available,0,217.825,26.855,10.508,255.188,486.212
1988-06-01,211.242,10.169,247.34,453.891,197.723,8.815,Not Available,0,211.242,25.929,10.169,247.34,453.891
1988-07-01,218.272,10.508,255.582,442.602,177.42,9.589,Not Available,0,218.272,26.802,10.508,255.582,442.602
1988-08-01,218.415,10.508,255.815,437.214,172.238,9.149,Not Available,0,218.415,26.893,10.508,255.815,437.214
1988-09-01,211.218,10.169,247.357,426.312,170.174,8.772,Not Available,0,211.218,25.97,10.169,247.357,426.312
1988-10-01,218.198,10.508,255.517,422.602,158.144,8.939,Not Available,0,218.198,26.811,10.508,255.517,422.602
1988-11-01,211.191,10.169,247.096,448.903,192.932,8.874,Not Available,0,211.191,25.737,10.169,247.096,448.903
1988-12-01,218.215,10.508,255.345,472.132,208.016,8.77,Not Available,0.001,218.215,26.623,10.508,255.345,472.132
1989-01-01,231.17,10.649,266.572,509.146,224.04,14.134,2.881,1.521,231.17,24.753,10.649,266.572,509.146
1989-02-01,211.272,9.618,243.927,461.434,199.31,12.761,3.104,2.331,211.272,23.037,9.618,243.927,461.434
1989-03-01,236.6,10.649,268.315,532.714,242.358,15.001,4.37,2.671,236.6,21.067,10.649,268.315,532.714
1989-04-01,218.29,10.305,251.946,530.096,257.728,13.095,4.843,2.484,218.29,23.351,10.305,251.946,530.096
1989-05-01,200.711,10.649,241.235,562.699,300.24,13.857,5.237,2.131,200.711,29.876,10.649,241.235,562.699
1989-06-01,208.439,10.305,248.447,546.135,277.046,13.664,5.346,1.631,208.439,29.704,10.305,248.447,546.135
1989-07-01,217.404,10.649,261.318,525.096,242.678,13.872,5.746,1.482,217.404,33.265,10.649,261.318,525.096
1989-08-01,234.088,10.649,276.985,513.153,216.086,13.414,5.593,1.075,234.088,32.249,10.649,276.985,513.153
1989-09-01,220.479,10.305,264.811,487.948,202.515,12.52,5.18,2.923,220.479,34.027,10.305,264.811,487.948
1989-10-01,230.492,10.649,276.462,511.058,214.892,13.157,4.715,1.832,230.492,35.321,10.649,276.462,511.058
1989-11-01,231.613,10.305,276.819,521.323,226.777,12.562,3.884,1.281,231.613,34.901,10.305,276.819,521.323
1989-12-01,239.066,10.649,282.52,533.84,233.595,13.504,3.55,0.671,239.066,32.806,10.649,282.52,533.84
1990-01-01,193.411,9.416,236.692,511.271,253.277,15.036,3.132,3.134,193.411,33.865,9.416,236.692,511.271
