Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
2000-01-01,7.66,6.93,4.31,Not Available,6.2,6.4
2000-02-01,7.71,6.96,4.32,Not Available,6.44,6.39
2000-03-01,8.09,7.03,4.31,Not Available,6.45,6.44
2000-04-01,8.15,7.05,4.32,Not Available,6.74,6.43
2000-05-01,8.34,7.25,4.51,Not Available,6.42,6.64
2000-06-01,8.56,7.7,4.75,Not Available,6.74,7.06
2000-07-01,8.61,7.76,4.95,Not Available,6.65,7.25
2000-08-01,8.63,7.93,5.07,Not Available,6.66,7.34
2000-09-01,8.51,7.73,4.84,Not Available,6.71,7.11
2000-10-01,8.49,7.67,4.74,Not Available,6.66,6.94
2000-11-01,8.15,7.34,4.59,Not Available,6.4,6.66
2000-12-01,7.82,7.52,4.88,Not Available,6.57,6.85
2001-01-01,7.73,7.25,4.75,Not Available,6.48,6.75
2001-02-01,8.04,7.51,4.81,Not Available,6.94,6.87
2001-03-01,8.32,7.7,4.87,Not Available,7.05,7.01
2001-04-01,8.46,7.73,4.87,Not Available,7.04,7.02
2001-05-01,8.83,7.77,5,Not Available,7.14,7.17
2001-06-01,9.07,8.13,5.23,Not Available,7.51,7.58
2001-07-01,9.03,8.41,5.56,Not Available,7.7,7.87
2001-08-01,9.01,8.35,5.49,Not Available,7.58,7.84
2001-09-01,8.92,8.22,5.3,Not Available,7.23,7.62
2001-10-01,8.84,8.27,5.06,Not Available,7.52,7.43
2001-11-01,8.48,7.73,4.78,Not Available,7.1,7.02
2001-12-01,8.29,7.66,4.78,Not Available,6.99,7.03
2002-01-01,8.07,7.49,4.73,Not Available,6.44,6.95
2002-02-01,8.19,7.68,4.76,Not Available,6.67,6.97
2002-03-01,8.17,7.72,4.73,Not Available,6.64,6.95
2002-04-01,8.37,7.68,4.73,Not Available,6.74,6.95
2002-05-01,8.64,7.84,4.78,Not Available,6.8,7.11
2002-06-01,8.73,8.18,5.03,Not Available,6.96,7.45
2002-07-01,8.82,8.33,5.27,Not Available,6.83,7.68
2002-08-01,8.72,8.24,5.15,Not Available,6.78,7.58
2002-09-01,8.59,8,4.98,Not Available,6.73,7.36
2002-10-01,8.47,8,4.91,Not Available,6.75,7.2
2002-11-01,8.31,7.64,4.71,Not Available,6.67,6.94
2002-12-01,8.08,7.59,4.72,Not Available,6.92,6.96
2003-01-01,8,7.45,4.92,7.23,Not Applicable,7
2003-02-01,8.02,7.65,4.99,7.42,Not Applicable,7.05
2003-03-01,8.35,7.78,5.02,7.32,Not Applicable,7.16
2003-04-01,8.82,7.93,4.99,7.61,Not Applicable,7.27
2003-05-01,8.99,8.06,5.06,7.57,Not Applicable,7.42
2003-06-01,9.25,8.44,5.28,7.75,Not Applicable,7.78
2003-07-01,9.21,8.55,5.54,8.01,Not Applicable,8.02
2003-08-01,9.22,8.46,5.48,7.84,Not Applicable,7.97
2003-09-01,8.92,8.15,5.19,7.65,Not Applicable,7.61
2003-10-01,8.85,8.09,5.07,7.63,Not Applicable,7.39
2003-11-01,8.72,7.85,4.86,7.24,Not Applicable,7.19
2003-12-01,8.3,7.7,4.87,7.26,Not Applicable,7.14
2004-01-01,8.24,7.7,5.01,6.62,Not Applicable,7.22
2004-02-01,8.33,7.85,5.04,7.13,Not Applicable,7.25
2004-03-01,8.62,7.92,5.04,6.7,Not Applicable,7.3
2004-04-01,8.93,7.89,5.09,7.16,Not Applicable,7.34
2004-05-01,9.07,7.99,5.18,6.66,Not Applicable,7.46
2004-06-01,9.29,8.49,5.46,7.28,Not Applicable,7.93
2004-07-01,9.36,8.63,5.63,7.84,Not Applicable,8.11
2004-08-01,9.5,8.7,5.65,7.76,Not Applicable,8.18
2004-09-01,9.39,8.54,5.41,7.42,Not Applicable,7.97
2004-10-01,9.05,8.23,5.25,7.32,Not Applicable,7.6
2004-11-01,8.96,8.04,5.09,7.15,Not Applicable,7.42
2004-12-01,8.58,7.82,5.14,7.12,Not Applicable,7.36
2005-01-01,8.52,7.99,5.23,7.91,Not Applicable,7.47
2005-02-01,8.76,8.19,5.26,8.14,Not Applicable,7.58
2005-03-01,8.87,8.15,5.3,8.01,Not Applicable,7.59
2005-04-01,9.22,8.25,5.31,8.3,Not Applicable,7.65
2005-05-01,9.56,8.41,5.42,8.23,Not Applicable,7.84
2005-06-01,9.79,8.89,5.86,8.5,Not Applicable,8.38
